scenario_id,t_ms,type,id,x_sim,y_sim,velocity
1,1.0,p,0,7.6090569690272005,7.9326184032300215,1.2771786206263984
1,1.0,p,1,7.196122117543133,9.546735410714716,1.1017315455654724
1,1.0,p,2,6.967221241658028,9.945639496464704,1.3858687155731373
1,1.0,p,3,6.925828084769467,11.76856434169263,1.4039059320290046
1,1.0,p,4,8.47454488718692,12.371580368179123,1.3042539509327171
1,1.0,p,5,16.040061053944665,4.326617904047492,1.0064666589055207
1,1.5,p,0,8.234940027351431,7.805863898185843,1.2771786206263982
1,1.5,p,1,7.470290545451036,9.068943852854982,1.1017315455654724
1,1.5,p,2,6.6223042370845375,10.546630581387879,1.3858687155731373
1,1.5,p,3,7.0920989980369065,12.45054084414544,1.4039059320290048
1,1.5,p,4,9.12545532838344,12.331765927680074,1.3042539509327173
1,1.5,p,5,15.506573297206984,4.403869385593293,1.0781038502667988
1,2.0,p,0,8.61715867109381,7.29429257801433,1.2771786206263982
1,2.0,p,1,7.830933973011923,8.652543303166757,1.1017315455654724
1,2.0,p,2,6.190629610089565,10.972647704025219,1.212985692201598
1,2.0,p,3,7.1038411885812875,13.007145455760437,1.1134569101853222
1,2.0,p,4,9.451861117856096,12.284188248177635,0.6597101635964226
1,2.0,p,5,14.946506097583203,4.484967596014616,1.1318165714071622
1,2.5,p,0,9.004196694977704,6.7863576655360305,1.2771786206263982
1,2.5,p,1,8.23827118089524,8.355390605289202,1.0084112787589903
1,2.5,p,2,5.696641077892048,11.259839581729587,1.1428102984520543
1,2.5,p,3,6.947443278695134,13.365507385986504,0.7820065965248895
1,2.5,p,4,9.534454955258818,12.232162035999817,0.19522775141335574
1,2.5,p,5,14.36649560001279,4.5689539036684845,1.1721192382436327
1,3.0,p,0,9.48060819475124,6.382861071321322,1.2486431334201733
1,3.0,p,1,8.680116609541345,8.151902290575519,0.9729026200817341
1,3.0,p,2,5.158027702261077,11.433454512227454,1.1318065426571247
1,3.0,p,3,6.667832247821289,13.567565170350537,0.6899555835224088
1,3.0,p,4,9.434099732907894,12.177719505111247,0.22834324883960386
